Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-11-28,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-11-29,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-11-30,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-03,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-04,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-05,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-06,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-07,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-10,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-11,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-12,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-13,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-14,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-17,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-18,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-19,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-20,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-21,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-24,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-25,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-26,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-27,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-28,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2001-12-31,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-01,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-02,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-03,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-04,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-07,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-08,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-09,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-10,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-11,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-14,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-15,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-16,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-17,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-18,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-21,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-22,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-23,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-24,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-25,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-28,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-29,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-30,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-01-31,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-01,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-04,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-05,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-06,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-07,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-08,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-11,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-12,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-13,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-14,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-15,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-18,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-19,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-20,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-21,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-22,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-25,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-26,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-27,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-02-28,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-01,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-04,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-05,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-06,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-07,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-08,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-11,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-12,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-13,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-14,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-15,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-18,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-19,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-20,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-21,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-22,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-25,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-26,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-27,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-28,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-03-29,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-01,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-02,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-03,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-04,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-05,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-08,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-09,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-10,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-11,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-12,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-15,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-16,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-17,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-18,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-19,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-22,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-23,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-24,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-25,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-26,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-29,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-04-30,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-01,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-02,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-03,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-06,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-07,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-08,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-09,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-10,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-13,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-14,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-15,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-16,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-17,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-20,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-21,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-22,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-23,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-24,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-27,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-28,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-29,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-30,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-05-31,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-03,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-04,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-05,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-06,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-07,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-10,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-11,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-12,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-13,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-14,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-17,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-18,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-19,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-20,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-21,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-24,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-25,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-26,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-27,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-06-28,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-01,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-02,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-03,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-04,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-05,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-08,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-09,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-10,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-11,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-12,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-15,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-16,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-17,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-18,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-19,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-22,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-23,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-24,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-25,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-26,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-29,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-30,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-07-31,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-01,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-02,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-05,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-06,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-07,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-08,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-09,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-12,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-13,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-14,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-15,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-16,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-19,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-20,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-21,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-22,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-23,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-26,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-27,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-28,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-29,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-08-30,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-09-02,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-09-03,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
2002-09-04,2.1178903579711914,2.1178903579711914,2.1178903579711914,2.1178903579711914,0,0.0,0
