Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-12-01,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-02,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-05,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-06,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-07,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-08,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-09,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-12,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-13,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-14,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-15,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-16,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-19,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-20,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-21,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-22,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-23,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-26,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-27,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-28,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2005-12-29,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-02,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-03,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-04,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-05,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-06,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-09,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-10,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-11,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-12,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-13,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-16,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-17,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-18,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-19,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-20,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-23,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-24,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-25,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-26,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-27,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-30,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-01-31,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-01,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-02,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-03,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-06,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-07,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-08,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-09,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-10,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-13,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-14,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-15,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-16,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-17,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-20,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-21,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-22,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-23,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-24,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-27,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-02-28,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-01,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-02,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-03,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-06,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-07,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-08,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-09,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-10,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-13,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-14,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-15,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-16,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-17,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-20,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-21,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-22,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-23,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-24,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-27,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-28,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-29,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-30,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-03-31,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-03,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-04,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-05,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-06,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-07,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-10,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-11,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-12,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-13,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-14,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-17,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-18,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-19,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-20,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-21,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-24,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-25,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-26,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-27,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-04-28,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-01,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-02,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-03,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-04,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-05,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-08,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-09,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-10,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-11,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-12,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-15,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-16,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-17,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-18,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-19,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-22,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-23,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-24,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-25,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-26,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-29,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-30,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-05-31,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-01,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-02,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-05,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-06,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-07,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-08,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-09,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-12,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-13,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-14,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-15,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-16,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-19,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-20,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-21,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-22,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-23,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-26,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-27,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-28,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-29,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-06-30,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-03,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-04,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-05,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-06,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-07,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-10,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-11,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-12,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-13,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-14,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-17,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-18,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-19,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-20,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-21,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-24,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-25,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-26,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-27,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-28,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-07-31,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-01,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-02,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-03,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-04,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-07,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-08,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-09,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-10,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-11,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-14,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-15,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-16,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-17,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-18,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-21,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-22,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-23,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-24,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-25,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-28,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-29,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-30,2.8996119499206543,2.8996119499206543,2.8996119499206543,2.8996119499206543,0,0.0,0.0
2006-08-31,2.6359622478485107,2.6359622478485107,2.6359622478485107,2.6359622478485107,1000,0.0,0.0
2006-09-01,2.6359622478485107,2.6359622478485107,2.6359622478485107,2.6359622478485107,0,0.0,0.0
2006-09-04,2.6359622478485107,2.6359622478485107,2.6359622478485107,2.6359622478485107,0,0.0,0.0
2006-09-05,2.6359622478485107,2.6359622478485107,2.6359622478485107,2.6359622478485107,0,0.0,0.0
2006-09-06,2.6359622478485107,2.6359622478485107,2.6359622478485107,2.6359622478485107,0,0.0,0.0
2006-09-07,2.6359622478485107,2.6359622478485107,2.6359622478485107,2.6359622478485107,0,0.0,0.0
2006-09-08,2.6359622478485107,2.6359622478485107,2.6359622478485107,2.6359622478485107,0,0.0,0.0
